Unité	F	f_Gilblas	score_Gilblas	f_LettresPersanes	score_LettresPersanes	f_Cleveland	score_Cleveland	f_ManonLescaut	score_ManonLescaut	f_Sethos	score_Sethos	f_Marquise	score_Marquise	f_Cabinet	score_Cabinet	f_Marianne	score_Marianne	f_Paysanne	score_Paysanne	f_Egarements	score_Egarements	f_MMeLuz	score_MMeLuz	f_Grecque	score_Grecque	f_Confessions	score_Confessions	f_Candide	score_Candide
accoutuméà	1	0	-0.069	0	-0.0197	1	0.5771	0	-0.0152	0	-0.0523	0	-0.0135	0	-0.0109	0	-0.0352	0	-0.0541	0	-0.0178	0	-0.0073	0	-0.0207	0	-0.0104	0	-0.0083
universaux	1	1	0.8332	0	-0.0197	0	-0.1336	0	-0.0152	0	-0.0523	0	-0.0135	0	-0.0109	0	-0.0352	0	-0.0541	0	-0.0178	0	-0.0073	0	-0.0207	0	-0.0104	0	-0.0083
delicieusement	1	0	-0.069	0	-0.0197	1	0.5771	0	-0.0152	0	-0.0523	0	-0.0135	0	-0.0109	0	-0.0352	0	-0.0541	0	-0.0178	0	-0.0073	0	-0.0207	0	-0.0104	0	-0.0083
accumulois	1	0	-0.069	0	-0.0197	1	0.5771	0	-0.0152	0	-0.0523	0	-0.0135	0	-0.0109	0	-0.0352	0	-0.0541	0	-0.0178	0	-0.0073	0	-0.0207	0	-0.0104	0	-0.0083
irritoit	1	0	-0.069	0	-0.0197	1	0.5771	0	-0.0152	0	-0.0523	0	-0.0135	0	-0.0109	0	-0.0352	0	-0.0541	0	-0.0178	0	-0.0073	0	-0.0207	0	-0.0104	0	-0.0083
quelquesavis	1	0	-0.069	0	-0.0197	1	0.5771	0	-0.0152	0	-0.0523	0	-0.0135	0	-0.0109	0	-0.0352	0	-0.0541	0	-0.0178	0	-0.0073	0	-0.0207	0	-0.0104	0	-0.0083
chassoient	1	0	-0.069	0	-0.0197	1	0.5771	0	-0.0152	0	-0.0523	0	-0.0135	0	-0.0109	0	-0.0352	0	-0.0541	0	-0.0178	0	-0.0073	0	-0.0207	0	-0.0104	0	-0.0083
avantagequ'il	1	0	-0.069	0	-0.0197	1	0.5771	0	-0.0152	0	-0.0523	0	-0.0135	0	-0.0109	0	-0.0352	0	-0.0541	0	-0.0178	0	-0.0073	0	-0.0207	0	-0.0104	0	-0.0083
voudroiscependant	1	0	-0.069	0	-0.0197	0	-0.1336	0	-0.0152	0	-0.0523	1	1.5151	0	-0.0109	0	-0.0352	0	-0.0541	0	-0.0178	0	-0.0073	0	-0.0207	0	-0.0104	0	-0.0083
DeM	1	0	-0.069	0	-0.0197	0	-0.1336	0	-0.0152	0	-0.0523	1	1.5151	0	-0.0109	0	-0.0352	0	-0.0541	0	-0.0178	0	-0.0073	0	-0.0207	0	-0.0104	0	-0.0083
très-sérieusement	1	0	-0.069	0	-0.0197	0	-0.1336	0	-0.0152	0	-0.0523	1	1.5151	0	-0.0109	0	-0.0352	0	-0.0541	0	-0.0178	0	-0.0073	0	-0.0207	0	-0.0104	0	-0.0083
pourroisvous	1	0	-0.069	0	-0.0197	0	-0.1336	0	-0.0152	0	-0.0523	1	1.5151	0	-0.0109	0	-0.0352	0	-0.0541	0	-0.0178	0	-0.0073	0	-0.0207	0	-0.0104	0	-0.0083
autresvoitures	1	0	-0.069	0	-0.0197	1	0.5771	0	-0.0152	0	-0.0523	0	-0.0135	0	-0.0109	0	-0.0352	0	-0.0541	0	-0.0178	0	-0.0073	0	-0.0207	0	-0.0104	0	-0.0083
êtesopiniâtré	1	0	-0.069	0	-0.0197	0	-0.1336	0	-0.0152	0	-0.0523	1	1.5151	0	-0.0109	0	-0.0352	0	-0.0541	0	-0.0178	0	-0.0073	0	-0.0207	0	-0.0104	0	-0.0083
brulois	1	0	-0.069	0	-0.0197	1	0.5771	0	-0.0152	0	-0.0523	0	-0.0135	0	-0.0109	0	-0.0352	0	-0.0541	0	-0.0178	0	-0.0073	0	-0.0207	0	-0.0104	0	-0.0083
tûs	1	0	-0.069	0	-0.0197	0	-0.1336	0	-0.0152	0	-0.0523	0	-0.0135	0	-0.0109	0	-0.0352	1	0.9315	0	-0.0178	0	-0.0073	0	-0.0207	0	-0.0104	0	-0.0083
chargeroit	1	0	-0.069	0	-0.0197	0	-0.1336	0	-0.0152	0	-0.0523	1	1.5151	0	-0.0109	0	-0.0352	0	-0.0541	0	-0.0178	0	-0.0073	0	-0.0207	0	-0.0104	0	-0.0083
injurier	1	0	-0.069	0	-0.0197	0	-0.1336	0	-0.0152	0	-0.0523	1	1.5151	0	-0.0109	0	-0.0352	0	-0.0541	0	-0.0178	0	-0.0073	0	-0.0207	0	-0.0104	0	-0.0083
etqu'après	1	0	-0.069	0	-0.0197	0	-0.1336	0	-0.0152	0	-0.0523	0	-0.0135	0	-0.0109	0	-0.0352	1	0.9315	0	-0.0178	0	-0.0073	0	-0.0207	0	-0.0104	0	-0.0083
Tircis	1	0	-0.069	0	-0.0197	0	-0.1336	0	-0.0152	0	-0.0523	1	1.5151	0	-0.0109	0	-0.0352	0	-0.0541	0	-0.0178	0	-0.0073	0	-0.0207	0	-0.0104	0	-0.0083
importantesà	1	0	-0.069	0	-0.0197	1	0.5771	0	-0.0152	0	-0.0523	0	-0.0135	0	-0.0109	0	-0.0352	0	-0.0541	0	-0.0178	0	-0.0073	0	-0.0207	0	-0.0104	0	-0.0083
prieroient	1	0	-0.069	0	-0.0197	0	-0.1336	0	-0.0152	0	-0.0523	0	-0.0135	0	-0.0109	0	-0.0352	1	0.9315	0	-0.0178	0	-0.0073	0	-0.0207	0	-0.0104	0	-0.0083
cetarticle	1	0	-0.069	0	-0.0197	1	0.5771	0	-0.0152	0	-0.0523	0	-0.0135	0	-0.0109	0	-0.0352	0	-0.0541	0	-0.0178	0	-0.0073	0	-0.0207	0	-0.0104	0	-0.0083
influoient	1	0	-0.069	0	-0.0197	0	-0.1336	0	-0.0152	0	-0.0523	0	-0.0135	0	-0.0109	0	-0.0352	1	0.9315	0	-0.0178	0	-0.0073	0	-0.0207	0	-0.0104	0	-0.0083
plongeois	1	0	-0.069	0	-0.0197	0	-0.1336	0	-0.0152	0	-0.0523	0	-0.0135	0	-0.0109	0	-0.0352	1	0.9315	0	-0.0178	0	-0.0073	0	-0.0207	0	-0.0104	0	-0.0083
