Unité	F	f_Gilblas	score_Gilblas	f_LettresPersanes	score_LettresPersanes	f_Cleveland	score_Cleveland	f_ManonLescaut	score_ManonLescaut	f_Sethos	score_Sethos	f_Marquise	score_Marquise	f_Cabinet	score_Cabinet	f_Marianne	score_Marianne	f_Paysanne	score_Paysanne	f_Egarements	score_Egarements	f_MMeLuz	score_MMeLuz	f_Grecque	score_Grecque	f_Confessions	score_Confessions	f_Candide	score_Candide
comparable	13	4	0.9545	1	0.3513	0	-1.7367	0	-0.197	1	-0.2545	0	-0.1751	0	-0.1416	0	-0.457	5	1.9005	0	-0.2318	0	-0.0945	2	0.9201	0	-0.1357	0	-0.1085
tapisserie	13	8	3.8581	0	-0.256	1	-0.9822	0	-0.197	0	-0.6801	0	-0.1751	0	-0.1416	1	-0.1356	0	-0.703	2	1.0266	0	-0.0945	0	-0.2689	0	-0.1357	1	0.6555
parlois	13	0	-0.8966	0	-0.256	10	3.6722	0	-0.197	0	-0.6801	0	-0.1751	0	-0.1416	0	-0.457	3	0.7247	0	-0.2318	0	-0.0945	0	-0.2689	0	-0.1357	0	-0.1085
phrase	13	4	0.9545	0	-0.256	0	-1.7367	0	-0.197	3	0.7533	0	-0.1751	1	0.5555	0	-0.457	3	0.7247	1	0.3835	0	-0.0945	0	-0.2689	0	-0.1357	1	0.6555
Cuba	13	0	-0.8966	0	-0.256	13	7.5022	0	-0.197	0	-0.6801	0	-0.1751	0	-0.1416	0	-0.457	0	-0.703	0	-0.2318	0	-0.0945	0	-0.2689	0	-0.1357	0	-0.1085
ressentimens	13	0	-0.8966	0	-0.256	12	5.9329	0	-0.197	0	-0.6801	0	-0.1751	0	-0.1416	0	-0.457	1	-0.2678	0	-0.2318	0	-0.0945	0	-0.2689	0	-0.1357	0	-0.1085
Ortiz	13	13	10.8311	0	-0.256	0	-1.7367	0	-0.197	0	-0.6801	0	-0.1751	0	-0.1416	0	-0.457	0	-0.703	0	-0.2318	0	-0.0945	0	-0.2689	0	-0.1357	0	-0.1085
approcherent	13	0	-0.8966	0	-0.256	13	7.5022	0	-0.197	0	-0.6801	0	-0.1751	0	-0.1416	0	-0.457	0	-0.703	0	-0.2318	0	-0.0945	0	-0.2689	0	-0.1357	0	-0.1085
stupide	13	3	0.5286	1	0.3513	1	-0.9822	0	-0.197	0	-0.6801	0	-0.1751	0	-0.1416	5	2.6677	0	-0.703	2	1.0266	1	0.7086	0	-0.2689	0	-0.1357	0	-0.1085
docile	13	1	-0.3864	0	-0.256	1	-0.9822	0	-0.197	3	0.7533	1	0.4791	0	-0.1416	1	-0.1356	4	1.2489	0	-0.2318	0	-0.0945	0	-0.2689	2	1.4323	0	-0.1085
denier	13	10	6.0616	0	-0.256	0	-1.7367	0	-0.197	2	0.3531	0	-0.1751	0	-0.1416	0	-0.457	0	-0.703	0	-0.2318	0	-0.0945	0	-0.2689	0	-0.1357	1	0.6555
Cette	13	1	-0.3864	0	-0.256	0	-1.7367	0	-0.197	0	-0.6801	0	-0.1751	0	-0.1416	0	-0.457	0	-0.703	0	-0.2318	0	-0.0945	9	9.2119	0	-0.1357	3	2.7672
sacrer	13	5	1.5026	1	0.3513	2	-0.538	0	-0.197	4	1.2911	0	-0.1751	0	-0.1416	0	-0.457	1	-0.2678	0	-0.2318	0	-0.0945	0	-0.2689	0	-0.1357	0	-0.1085
conviendroit	13	0	-0.8966	0	-0.256	3	-0.2719	0	-0.197	6	2.7446	0	-0.1751	0	-0.1416	0	-0.457	4	1.2489	0	-0.2318	0	-0.0945	0	-0.2689	0	-0.1357	0	-0.1085
conformément	13	1	-0.3864	1	0.3513	0	-1.7367	0	-0.197	7	3.6521	0	-0.1751	1	0.5555	1	-0.1356	1	-0.2678	0	-0.2318	0	-0.0945	0	-0.2689	1	0.5714	0	-0.1085
mont	13	1	-0.3864	2	0.9551	3	-0.2719	1	0.4382	5	1.9569	0	-0.1751	0	-0.1416	0	-0.457	0	-0.703	0	-0.2318	0	-0.0945	0	-0.2689	0	-0.1357	1	0.6555
vivois	13	0	-0.8966	0	-0.256	6	0.9929	0	-0.197	0	-0.6801	1	0.4791	0	-0.1416	0	-0.457	6	2.6737	0	-0.2318	0	-0.0945	0	-0.2689	0	-0.1357	0	-0.1085
negres	13	0	-0.8966	0	-0.256	0	-1.7367	0	-0.197	13	12.2858	0	-0.1751	0	-0.1416	0	-0.457	0	-0.703	0	-0.2318	0	-0.0945	0	-0.2689	0	-0.1357	0	-0.1085
sçus	13	0	-0.8966	0	-0.256	5	0.6114	0	-0.197	0	-0.6801	0	-0.1751	0	-0.1416	0	-0.457	8	4.5805	0	-0.2318	0	-0.0945	0	-0.2689	0	-0.1357	0	-0.1085
branler	13	5	1.5026	1	0.3513	4	0.3323	0	-0.197	0	-0.6801	0	-0.1751	0	-0.1416	0	-0.457	2	0.337	0	-0.2318	0	-0.0945	1	0.3357	0	-0.1357	0	-0.1085
puiser	13	0	-0.8966	0	-0.256	4	0.3323	0	-0.197	5	1.9569	0	-0.1751	1	0.5555	0	-0.457	0	-0.703	1	0.3835	0	-0.0945	2	0.9201	0	-0.1357	0	-0.1085
pirate	13	5	1.5026	0	-0.256	0	-1.7367	0	-0.197	4	1.2911	0	-0.1751	0	-0.1416	0	-0.457	0	-0.703	0	-0.2318	0	-0.0945	0	-0.2689	0	-0.1357	4	4.0874
bœuf	13	2	0.2297	2	0.9551	0	-1.7367	0	-0.197	5	1.9569	0	-0.1751	0	-0.1416	0	-0.457	1	-0.2678	0	-0.2318	0	-0.0945	0	-0.2689	0	-0.1357	3	2.7672
renouer	13	2	0.2297	0	-0.256	1	-0.9822	1	0.4382	0	-0.6801	3	2.189	0	-0.1416	2	0.5715	0	-0.703	1	0.3835	0	-0.0945	0	-0.2689	2	1.4323	1	0.6555
imposant	13	4	0.9545	0	-0.256	1	-0.9822	0	-0.197	0	-0.6801	1	0.4791	1	0.5555	2	0.5715	1	-0.2678	1	0.3835	0	-0.0945	0	-0.2689	2	1.4323	0	-0.1085
Cogollos	13	13	10.8311	0	-0.256	0	-1.7367	0	-0.197	0	-0.6801	0	-0.1751	0	-0.1416	0	-0.457	0	-0.703	0	-0.2318	0	-0.0945	0	-0.2689	0	-0.1357	0	-0.1085
surpassoit	13	0	-0.8966	0	-0.256	10	3.6722	0	-0.197	3	0.7533	0	-0.1751	0	-0.1416	0	-0.457	0	-0.703	0	-0.2318	0	-0.0945	0	-0.2689	0	-0.1357	0	-0.1085
contredit	13	7	2.9536	1	0.3513	2	-0.538	0	-0.197	1	-0.2545	0	-0.1751	1	0.5555	0	-0.457	0	-0.703	1	0.3835	0	-0.0945	0	-0.2689	0	-0.1357	0	-0.1085
munition	13	2	0.2297	0	-0.256	0	-1.7367	0	-0.197	11	8.5989	0	-0.1751	0	-0.1416	0	-0.457	0	-0.703	0	-0.2318	0	-0.0945	0	-0.2689	0	-0.1357	0	-0.1085
turque	13	2	0.2297	0	-0.256	0	-1.7367	0	-0.197	0	-0.6801	0	-0.1751	0	-0.1416	0	-0.457	0	-0.703	0	-0.2318	0	-0.0945	11	12.8027	0	-0.1357	0	-0.1085
invisible	13	0	-0.8966	6	5.0031	5	0.6114	0	-0.197	1	-0.2545	0	-0.1751	1	0.5555	0	-0.457	0	-0.703	0	-0.2318	0	-0.0945	0	-0.2689	0	-0.1357	0	-0.1085
Olmedo	13	13	10.8311	0	-0.256	0	-1.7367	0	-0.197	0	-0.6801	0	-0.1751	0	-0.1416	0	-0.457	0	-0.703	0	-0.2318	0	-0.0945	0	-0.2689	0	-0.1357	0	-0.1085
reçûs	13	0	-0.8966	0	-0.256	3	-0.2719	0	-0.197	5	1.9569	0	-0.1751	0	-0.1416	0	-0.457	5	1.9005	0	-0.2318	0	-0.0945	0	-0.2689	0	-0.1357	0	-0.1085
dès-lors	13	0	-0.8966	0	-0.256	6	0.9929	0	-0.197	5	1.9569	0	-0.1751	0	-0.1416	0	-0.457	1	-0.2678	0	-0.2318	1	0.7086	0	-0.2689	0	-0.1357	0	-0.1085
montoit	13	0	-0.8966	0	-0.256	3	-0.2719	0	-0.197	7	3.6521	0	-0.1751	0	-0.1416	0	-0.457	3	0.7247	0	-0.2318	0	-0.0945	0	-0.2689	0	-0.1357	0	-0.1085
tressaillir	13	2	0.2297	1	0.3513	0	-1.7367	0	-0.197	0	-0.6801	0	-0.1751	0	-0.1416	2	0.5715	8	4.5805	0	-0.2318	0	-0.0945	0	-0.2689	0	-0.1357	0	-0.1085
Buénos-Ayres	13	0	-0.8966	0	-0.256	0	-1.7367	0	-0.197	0	-0.6801	0	-0.1751	0	-0.1416	0	-0.457	0	-0.703	0	-0.2318	0	-0.0945	0	-0.2689	0	-0.1357	13	22.3667
apperçoit	13	0	-0.8966	0	-0.256	13	7.5022	0	-0.197	0	-0.6801	0	-0.1751	0	-0.1416	0	-0.457	0	-0.703	0	-0.2318	0	-0.0945	0	-0.2689	0	-0.1357	0	-0.1085
invitoit	13	0	-0.8966	0	-0.256	2	-0.538	0	-0.197	10	7.1359	0	-0.1751	0	-0.1416	0	-0.457	1	-0.2678	0	-0.2318	0	-0.0945	0	-0.2689	0	-0.1357	0	-0.1085
aga	13	0	-0.8966	0	-0.256	0	-1.7367	0	-0.197	0	-0.6801	0	-0.1751	0	-0.1416	0	-0.457	0	-0.703	0	-0.2318	0	-0.0945	11	12.8027	0	-0.1357	2	1.6093
envi	13	7	2.9536	0	-0.256	2	-0.538	0	-0.197	2	0.3531	0	-0.1751	0	-0.1416	0	-0.457	0	-0.703	0	-0.2318	0	-0.0945	0	-0.2689	2	1.4323	0	-0.1085
Antoine	13	9	4.8897	1	0.3513	0	-1.7367	0	-0.197	1	-0.2545	0	-0.1751	0	-0.1416	0	-0.457	0	-0.703	0	-0.2318	0	-0.0945	0	-0.2689	1	0.5714	1	0.6555
assortir	13	1	-0.3864	3	1.749	4	0.3323	0	-0.197	0	-0.6801	0	-0.1751	1	0.5555	2	0.5715	0	-0.703	0	-0.2318	1	0.7086	0	-0.2689	1	0.5714	0	-0.1085
veste	13	0	-0.8966	0	-0.256	1	-0.9822	2	1.1465	10	7.1359	0	-0.1751	0	-0.1416	0	-0.457	0	-0.703	0	-0.2318	0	-0.0945	0	-0.2689	0	-0.1357	0	-0.1085
ceder	13	0	-0.8966	0	-0.256	1	-0.9822	0	-0.197	12	10.2748	0	-0.1751	0	-0.1416	0	-0.457	0	-0.703	0	-0.2318	0	-0.0945	0	-0.2689	0	-0.1357	0	-0.1085
masquer	13	3	0.5286	0	-0.256	3	-0.2719	0	-0.197	1	-0.2545	0	-0.1751	1	0.5555	0	-0.457	2	0.337	2	1.0266	0	-0.0945	0	-0.2689	1	0.5714	0	-0.1085
mettoient	13	0	-0.8966	0	-0.256	4	0.3323	0	-0.197	9	5.838	0	-0.1751	0	-0.1416	0	-0.457	0	-0.703	0	-0.2318	0	-0.0945	0	-0.2689	0	-0.1357	0	-0.1085
linger|lingère	13	0	-0.8966	0	-0.256	0	-1.7367	0	-0.197	0	-0.6801	0	-0.1751	0	-0.1416	13	14.4203	0	-0.703	0	-0.2318	0	-0.0945	0	-0.2689	0	-0.1357	0	-0.1085
tome	13	2	0.2297	0	-0.256	7	1.4819	0	-0.197	2	0.3531	0	-0.1751	0	-0.1416	0	-0.457	2	0.337	0	-0.2318	0	-0.0945	0	-0.2689	0	-0.1357	0	-0.1085
barreau	13	2	0.2297	0	-0.256	0	-1.7367	0	-0.197	10	7.1359	0	-0.1751	0	-0.1416	1	-0.1356	0	-0.703	0	-0.2318	0	-0.0945	0	-0.2689	0	-0.1357	0	-0.1085
fidelles	13	0	-0.8966	0	-0.256	7	1.4819	0	-0.197	5	1.9569	1	0.4791	0	-0.1416	0	-0.457	0	-0.703	0	-0.2318	0	-0.0945	0	-0.2689	0	-0.1357	0	-0.1085
descendoit	13	0	-0.8966	0	-0.256	1	-0.9822	0	-0.197	11	8.5989	0	-0.1751	0	-0.1416	0	-0.457	1	-0.2678	0	-0.2318	0	-0.0945	0	-0.2689	0	-0.1357	0	-0.1085
affectueusement	13	0	-0.8966	0	-0.256	9	2.8098	1	0.4382	0	-0.6801	0	-0.1751	0	-0.1416	3	1.1272	0	-0.703	0	-0.2318	0	-0.0945	0	-0.2689	0	-0.1357	0	-0.1085
Histoire	13	6	2.1692	0	-0.256	6	0.9929	0	-0.197	0	-0.6801	0	-0.1751	1	0.5555	0	-0.457	0	-0.703	0	-0.2318	0	-0.0945	0	-0.2689	0	-0.1357	0	-0.1085
Joseph	13	11	7.3981	1	0.3513	1	-0.9822	0	-0.197	0	-0.6801	0	-0.1751	0	-0.1416	0	-0.457	0	-0.703	0	-0.2318	0	-0.0945	0	-0.2689	0	-0.1357	0	-0.1085
ravage	13	1	-0.3864	4	2.6994	2	-0.538	1	0.4382	3	0.7533	0	-0.1751	1	0.5555	0	-0.457	0	-0.703	0	-0.2318	0	-0.0945	0	-0.2689	0	-0.1357	1	0.6555
sénat	13	0	-0.8966	0	-0.256	0	-1.7367	0	-0.197	13	12.2858	0	-0.1751	0	-0.1416	0	-0.457	0	-0.703	0	-0.2318	0	-0.0945	0	-0.2689	0	-0.1357	0	-0.1085
nue	13	3	0.5286	3	1.749	4	0.3323	0	-0.197	0	-0.6801	0	-0.1751	0	-0.1416	0	-0.457	0	-0.703	0	-0.2318	0	-0.0945	0	-0.2689	0	-0.1357	3	2.7672
déclamer	13	9	4.8897	0	-0.256	0	-1.7367	0	-0.197	0	-0.6801	0	-0.1751	0	-0.1416	0	-0.457	0	-0.703	0	-0.2318	1	0.7086	0	-0.2689	3	2.4947	0	-0.1085
personnellement	13	1	-0.3864	0	-0.256	1	-0.9822	0	-0.197	5	1.9569	1	0.4791	1	0.5555	2	0.5715	1	-0.2678	0	-0.2318	0	-0.0945	1	0.3357	0	-0.1357	0	-0.1085
catastrophe	13	1	-0.3864	2	0.9551	3	-0.2719	2	1.1465	0	-0.6801	0	-0.1751	0	-0.1416	2	0.5715	1	-0.2678	0	-0.2318	0	-0.0945	1	0.3357	0	-0.1357	1	0.6555
modele	13	0	-0.8966	0	-0.256	2	-0.538	0	-0.197	9	5.838	2	1.2352	0	-0.1416	0	-0.457	0	-0.703	0	-0.2318	0	-0.0945	0	-0.2689	0	-0.1357	0	-0.1085
convenoient	13	0	-0.8966	0	-0.256	9	2.8098	0	-0.197	1	-0.2545	0	-0.1751	0	-0.1416	0	-0.457	3	0.7247	0	-0.2318	0	-0.0945	0	-0.2689	0	-0.1357	0	-0.1085
concernoit	13	0	-0.8966	0	-0.256	8	2.0845	0	-0.197	5	1.9569	0	-0.1751	0	-0.1416	0	-0.457	0	-0.703	0	-0.2318	0	-0.0945	0	-0.2689	0	-0.1357	0	-0.1085
historique	13	0	-0.8966	1	0.3513	4	0.3323	0	-0.197	8	4.6811	0	-0.1751	0	-0.1416	0	-0.457	0	-0.703	0	-0.2318	0	-0.0945	0	-0.2689	0	-0.1357	0	-0.1085
quereller	13	0	-0.8966	0	-0.256	0	-1.7367	4	3.1135	0	-0.6801	0	-0.1751	1	0.5555	6	3.6297	1	-0.2678	1	0.3835	0	-0.0945	0	-0.2689	0	-0.1357	0	-0.1085
provincial	13	0	-0.8966	1	0.3513	0	-1.7367	1	0.4382	0	-0.6801	0	-0.1751	2	1.3986	0	-0.457	5	1.9005	0	-0.2318	0	-0.0945	0	-0.2689	1	0.5714	3	2.7672
Eurydice	13	0	-0.8966	0	-0.256	0	-1.7367	0	-0.197	13	12.2858	0	-0.1751	0	-0.1416	0	-0.457	0	-0.703	0	-0.2318	0	-0.0945	0	-0.2689	0	-0.1357	0	-0.1085
fidèlement	13	5	1.5026	0	-0.256	0	-1.7367	1	0.4382	0	-0.6801	0	-0.1751	1	0.5555	0	-0.457	1	-0.2678	0	-0.2318	0	-0.0945	4	2.6226	0	-0.1357	1	0.6555
hospitalité	13	4	0.9545	0	-0.256	0	-1.7367	0	-0.197	9	5.838	0	-0.1751	0	-0.1416	0	-0.457	0	-0.703	0	-0.2318	0	-0.0945	0	-0.2689	0	-0.1357	0	-0.1085
fleurir	13	2	0.2297	8	7.8046	1	-0.9822	0	-0.197	0	-0.6801	0	-0.1751	0	-0.1416	0	-0.457	0	-0.703	0	-0.2318	0	-0.0945	0	-0.2689	0	-0.1357	2	1.6093
manque	13	1	-0.3864	1	0.3513	2	-0.538	1	0.4382	2	0.3531	1	0.4791	0	-0.1416	0	-0.457	4	1.2489	1	0.3835	0	-0.0945	0	-0.2689	0	-0.1357	0	-0.1085
proposois	13	0	-0.8966	0	-0.256	12	5.9329	0	-0.197	0	-0.6801	0	-0.1751	0	-0.1416	0	-0.457	1	-0.2678	0	-0.2318	0	-0.0945	0	-0.2689	0	-0.1357	0	-0.1085
volage	13	4	0.9545	0	-0.256	0	-1.7367	4	3.1135	0	-0.6801	0	-0.1751	1	0.5555	3	1.1272	0	-0.703	0	-0.2318	0	-0.0945	0	-0.2689	0	-0.1357	1	0.6555
corsaire	13	5	1.5026	0	-0.256	0	-1.7367	1	0.4382	2	0.3531	0	-0.1751	0	-0.1416	0	-0.457	0	-0.703	0	-0.2318	0	-0.0945	0	-0.2689	0	-0.1357	5	5.5482
maritime	13	0	-0.8966	0	-0.256	0	-1.7367	0	-0.197	13	12.2858	0	-0.1751	0	-0.1416	0	-0.457	0	-0.703	0	-0.2318	0	-0.0945	0	-0.2689	0	-0.1357	0	-0.1085
relire	13	2	0.2297	0	-0.256	2	-0.538	2	1.1465	1	-0.2545	2	1.2352	0	-0.1416	0	-0.457	4	1.2489	0	-0.2318	0	-0.0945	0	-0.2689	0	-0.1357	0	-0.1085
très-bonne	13	0	-0.8966	1	0.3513	0	-1.7367	0	-0.197	4	1.2911	1	0.4791	0	-0.1416	0	-0.457	5	1.9005	0	-0.2318	0	-0.0945	0	-0.2689	0	-0.1357	2	1.6093
conservois	13	0	-0.8966	0	-0.256	8	2.0845	0	-0.197	0	-0.6801	0	-0.1751	0	-0.1416	0	-0.457	5	1.9005	0	-0.2318	0	-0.0945	0	-0.2689	0	-0.1357	0	-0.1085
parfumer	13	8	3.8581	3	1.749	0	-1.7367	0	-0.197	0	-0.6801	1	0.4791	0	-0.1416	0	-0.457	0	-0.703	0	-0.2318	0	-0.0945	0	-0.2689	0	-0.1357	1	0.6555
questionner	13	3	0.5286	0	-0.256	0	-1.7367	0	-0.197	0	-0.6801	0	-0.1751	0	-0.1416	1	-0.1356	9	5.7225	0	-0.2318	0	-0.0945	0	-0.2689	0	-0.1357	0	-0.1085
semer	13	2	0.2297	1	0.3513	1	-0.9822	0	-0.197	6	2.7446	0	-0.1751	0	-0.1416	0	-0.457	1	-0.2678	0	-0.2318	2	1.7202	0	-0.2689	0	-0.1357	0	-0.1085
aparences	13	0	-0.8966	0	-0.256	0	-1.7367	0	-0.197	0	-0.6801	0	-0.1751	0	-0.1416	0	-0.457	13	12.1099	0	-0.2318	0	-0.0945	0	-0.2689	0	-0.1357	0	-0.1085
forteresse	13	1	-0.3864	1	0.3513	1	-0.9822	0	-0.197	10	7.1359	0	-0.1751	0	-0.1416	0	-0.457	0	-0.703	0	-0.2318	0	-0.0945	0	-0.2689	0	-0.1357	0	-0.1085
inquisition	13	6	2.1692	3	1.749	0	-1.7367	0	-0.197	0	-0.6801	0	-0.1751	0	-0.1416	0	-0.457	0	-0.703	0	-0.2318	0	-0.0945	0	-0.2689	0	-0.1357	4	4.0874
Mephrès	13	0	-0.8966	0	-0.256	0	-1.7367	0	-0.197	13	12.2858	0	-0.1751	0	-0.1416	0	-0.457	0	-0.703	0	-0.2318	0	-0.0945	0	-0.2689	0	-0.1357	0	-0.1085
prérogative	13	1	-0.3864	1	0.3513	1	-0.9822	0	-0.197	5	1.9569	0	-0.1751	0	-0.1416	0	-0.457	3	0.7247	0	-0.2318	0	-0.0945	0	-0.2689	2	1.4323	0	-0.1085
Marivaux	13	2	0.2297	1	0.3513	0	-1.7367	0	-0.197	0	-0.6801	0	-0.1751	1	0.5555	8	5.9196	0	-0.703	0	-0.2318	0	-0.0945	1	0.3357	0	-0.1357	0	-0.1085
passans	13	0	-0.8966	0	-0.256	5	0.6114	0	-0.197	4	1.2911	0	-0.1751	0	-0.1416	0	-0.457	4	1.2489	0	-0.2318	0	-0.0945	0	-0.2689	0	-0.1357	0	-0.1085
gazon	13	5	1.5026	2	0.9551	5	0.6114	0	-0.197	0	-0.6801	0	-0.1751	0	-0.1416	0	-0.457	0	-0.703	0	-0.2318	0	-0.0945	0	-0.2689	1	0.5714	0	-0.1085
Rouge	13	0	-0.8966	0	-0.256	0	-1.7367	0	-0.197	13	12.2858	0	-0.1751	0	-0.1416	0	-0.457	0	-0.703	0	-0.2318	0	-0.0945	0	-0.2689	0	-0.1357	0	-0.1085
necessaire	13	0	-0.8966	0	-0.256	1	-0.9822	0	-0.197	12	10.2748	0	-0.1751	0	-0.1416	0	-0.457	0	-0.703	0	-0.2318	0	-0.0945	0	-0.2689	0	-0.1357	0	-0.1085
canon	13	0	-0.8966	0	-0.256	6	0.9929	0	-0.197	0	-0.6801	0	-0.1751	0	-0.1416	0	-0.457	0	-0.703	0	-0.2318	0	-0.0945	1	0.3357	0	-0.1357	6	7.1383
candeur	13	0	-0.8966	1	0.3513	2	-0.538	1	0.4382	0	-0.6801	0	-0.1751	0	-0.1416	1	-0.1356	0	-0.703	2	1.0266	0	-0.0945	2	0.9201	4	3.7183	0	-0.1085
voiler	13	0	-0.8966	1	0.3513	3	-0.2719	0	-0.197	7	3.6521	0	-0.1751	0	-0.1416	0	-0.457	1	-0.2678	0	-0.2318	0	-0.0945	0	-0.2689	1	0.5714	0	-0.1085
rond	13	2	0.2297	3	1.749	1	-0.9822	0	-0.197	2	0.3531	0	-0.1751	0	-0.1416	2	0.5715	2	0.337	0	-0.2318	0	-0.0945	0	-0.2689	0	-0.1357	1	0.6555
paroissois	13	0	-0.8966	0	-0.256	11	4.6971	0	-0.197	0	-0.6801	0	-0.1751	0	-0.1416	0	-0.457	2	0.337	0	-0.2318	0	-0.0945	0	-0.2689	0	-0.1357	0	-0.1085
cherchoient	13	0	-0.8966	0	-0.256	8	2.0845	0	-0.197	2	0.3531	0	-0.1751	0	-0.1416	0	-0.457	3	0.7247	0	-0.2318	0	-0.0945	0	-0.2689	0	-0.1357	0	-0.1085
entr'ouvrir	13	2	0.2297	0	-0.256	0	-1.7367	1	0.4382	1	-0.2545	0	-0.1751	0	-0.1416	1	-0.1356	5	1.9005	1	0.3835	0	-0.0945	0	-0.2689	0	-0.1357	2	1.6093
bocage	13	0	-0.8966	1	0.3513	0	-1.7367	0	-0.197	12	10.2748	0	-0.1751	0	-0.1416	0	-0.457	0	-0.703	0	-0.2318	0	-0.0945	0	-0.2689	0	-0.1357	0	-0.1085
agent	13	6	2.1692	0	-0.256	1	-0.9822	0	-0.197	2	0.3531	0	-0.1751	0	-0.1416	0	-0.457	1	-0.2678	0	-0.2318	2	1.7202	0	-0.2689	0	-0.1357	1	0.6555
infant	13	9	4.8897	0	-0.256	1	-0.9822	0	-0.197	0	-0.6801	3	2.189	0	-0.1416	0	-0.457	0	-0.703	0	-0.2318	0	-0.0945	0	-0.2689	0	-0.1357	0	-0.1085
indépendant	13	4	0.9545	1	0.3513	1	-0.9822	0	-0.197	3	0.7533	0	-0.1751	1	0.5555	1	-0.1356	0	-0.703	0	-0.2318	0	-0.0945	2	0.9201	0	-0.1357	0	-0.1085
Morales	13	13	10.8311	0	-0.256	0	-1.7367	0	-0.197	0	-0.6801	0	-0.1751	0	-0.1416	0	-0.457	0	-0.703	0	-0.2318	0	-0.0945	0	-0.2689	0	-0.1357	0	-0.1085
Mon	13	0	-0.8966	0	-0.256	0	-1.7367	0	-0.197	0	-0.6801	0	-0.1751	0	-0.1416	0	-0.457	0	-0.703	0	-0.2318	0	-0.0945	2	0.9201	0	-0.1357	11	17.0487
protéger	13	2	0.2297	1	0.3513	1	-0.9822	0	-0.197	0	-0.6801	0	-0.1751	0	-0.1416	1	-0.1356	5	1.9005	0	-0.2318	2	1.7202	0	-0.2689	1	0.5714	0	-0.1085
trouveroient	13	0	-0.8966	0	-0.256	3	-0.2719	0	-0.197	9	5.838	0	-0.1751	0	-0.1416	0	-0.457	1	-0.2678	0	-0.2318	0	-0.0945	0	-0.2689	0	-0.1357	0	-0.1085
marquois	13	0	-0.8966	0	-0.256	9	2.8098	0	-0.197	0	-0.6801	0	-0.1751	0	-0.1416	0	-0.457	4	1.2489	0	-0.2318	0	-0.0945	0	-0.2689	0	-0.1357	0	-0.1085
Castille	13	13	10.8311	0	-0.256	0	-1.7367	0	-0.197	0	-0.6801	0	-0.1751	0	-0.1416	0	-0.457	0	-0.703	0	-0.2318	0	-0.0945	0	-0.2689	0	-0.1357	0	-0.1085
sortant	13	0	-0.8966	0	-0.256	3	-0.2719	3	2.0506	1	-0.2545	0	-0.1751	0	-0.1416	2	0.5715	2	0.337	0	-0.2318	0	-0.0945	1	0.3357	1	0.5714	0	-0.1085
continuation	13	0	-0.8966	0	-0.256	1	-0.9822	0	-0.197	4	1.2911	2	1.2352	1	0.5555	1	-0.1356	3	0.7247	0	-0.2318	0	-0.0945	1	0.3357	0	-0.1357	0	-0.1085
déplorer	13	5	1.5026	1	0.3513	4	0.3323	0	-0.197	0	-0.6801	1	0.4791	0	-0.1416	0	-0.457	1	-0.2678	0	-0.2318	0	-0.0945	0	-0.2689	1	0.5714	0	-0.1085
occupoient	13	0	-0.8966	0	-0.256	4	0.3323	0	-0.197	6	2.7446	1	0.4791	0	-0.1416	0	-0.457	2	0.337	0	-0.2318	0	-0.0945	0	-0.2689	0	-0.1357	0	-0.1085
apelloit	13	0	-0.8966	0	-0.256	0	-1.7367	0	-0.197	0	-0.6801	0	-0.1751	0	-0.1416	0	-0.457	13	12.1099	0	-0.2318	0	-0.0945	0	-0.2689	0	-0.1357	0	-0.1085
apelle	13	0	-0.8966	0	-0.256	0	-1.7367	0	-0.197	0	-0.6801	0	-0.1751	0	-0.1416	0	-0.457	13	12.1099	0	-0.2318	0	-0.0945	0	-0.2689	0	-0.1357	0	-0.1085
orfèvre	13	12	8.9472	1	0.3513	0	-1.7367	0	-0.197	0	-0.6801	0	-0.1751	0	-0.1416	0	-0.457	0	-0.703	0	-0.2318	0	-0.0945	0	-0.2689	0	-0.1357	0	-0.1085
collier	13	7	2.9536	0	-0.256	0	-1.7367	4	3.1135	1	-0.2545	0	-0.1751	0	-0.1416	0	-0.457	1	-0.2678	0	-0.2318	0	-0.0945	0	-0.2689	0	-0.1357	0	-0.1085
nopandes	13	0	-0.8966	0	-0.256	13	7.5022	0	-0.197	0	-0.6801	0	-0.1751	0	-0.1416	0	-0.457	0	-0.703	0	-0.2318	0	-0.0945	0	-0.2689	0	-0.1357	0	-0.1085
heroïque	13	0	-0.8966	0	-0.256	0	-1.7367	0	-0.197	13	12.2858	0	-0.1751	0	-0.1416	0	-0.457	0	-0.703	0	-0.2318	0	-0.0945	0	-0.2689	0	-0.1357	0	-0.1085
amèrement	13	3	0.5286	0	-0.256	2	-0.538	2	1.1465	0	-0.6801	0	-0.1751	0	-0.1416	1	-0.1356	0	-0.703	0	-0.2318	0	-0.0945	4	2.6226	0	-0.1357	1	0.6555
condamnable	13	0	-0.8966	0	-0.256	0	-1.7367	0	-0.197	5	1.9569	2	1.2352	1	0.5555	0	-0.457	2	0.337	2	1.0266	0	-0.0945	1	0.3357	0	-0.1357	0	-0.1085
repliquai	13	0	-0.8966	0	-0.256	0	-1.7367	0	-0.197	0	-0.6801	0	-0.1751	0	-0.1416	0	-0.457	13	12.1099	0	-0.2318	0	-0.0945	0	-0.2689	0	-0.1357	0	-0.1085
